3.134	-1.39E-17	3.71E-09	-5.25E-09	-3.21E-08	6.69E-09
3.136	-1.64E-17	4.34E-09	-6.14E-09	-3.76E-08	7.83E-09
3.138	-1.94E-17	5.07E-09	-7.17E-09	-4.39E-08	9.15E-09
3.14	-2.28E-17	5.92E-09	-8.37E-09	-5.13E-08	1.07E-08
3.142	-2.68E-17	6.90E-09	-9.76E-09	-5.98E-08	1.25E-08
3.144	-3.15E-17	8.04E-09	-1.14E-08	-6.97E-08	1.45E-08
3.146	-3.69E-17	9.36E-09	-1.32E-08	-8.11E-08	1.69E-08
3.148	-4.33E-17	1.09E-08	-1.54E-08	-9.42E-08	1.96E-08
3.15	-5.06E-17	1.26E-08	-1.79E-08	-1.09E-07	2.28E-08
3.152	-5.91E-17	1.47E-08	-2.07E-08	-1.27E-07	2.64E-08
3.154	-6.91E-17	1.70E-08	-2.40E-08	-1.47E-07	3.06E-08
3.156	-8.05E-17	1.96E-08	-2.78E-08	-1.70E-07	3.55E-08
3.158	-9.38E-17	2.27E-08	-3.21E-08	-1.97E-07	4.10E-08
3.16	-1.09E-16	2.62E-08	-3.71E-08	-2.27E-07	4.74E-08
3.162	-1.27E-16	3.03E-08	-4.28E-08	-2.62E-07	5.46E-08
3.164	-1.47E-16	3.49E-08	-4.93E-08	-3.02E-07	6.30E-08
3.166	-1.71E-16	4.02E-08	-5.68E-08	-3.48E-07	7.25E-08
3.168	-1.98E-16	4.62E-08	-6.53E-08	-4.00E-07	8.34E-08
3.17	-2.29E-16	5.31E-08	-7.50E-08	-4.60E-07	9.58E-08
3.172	-2.64E-16	6.09E-08	-8.61E-08	-5.28E-07	1.10E-07
3.174	-3.05E-16	6.98E-08	-9.87E-08	-6.05E-07	1.26E-07
3.176	-3.51E-16	7.99E-08	-1.13E-07	-6.92E-07	1.44E-07
3.178	-4.04E-16	9.14E-08	-1.29E-07	-7.92E-07	1.65E-07
3.18	-4.65E-16	1.04E-07	-1.48E-07	-9.05E-07	1.88E-07
3.182	-5.34E-16	1.19E-07	-1.69E-07	-1.03E-06	2.15E-07
3.184	-6.13E-16	1.36E-07	-1.92E-07	-1.18E-06	2.45E-07
3.186	-7.02E-16	1.55E-07	-2.19E-07	-1.34E-06	2.79E-07
3.188	-8.04E-16	1.76E-07	-2.49E-07	-1.52E-06	3.17E-07
3.19	-9.19E-16	2.00E-07	-2.83E-07	-1.73E-06	3.61E-07
3.192	-1.05E-15	2.27E-07	-3.21E-07	-1.97E-06	4.09E-07
3.194	-1.20E-15	2.57E-07	-3.64E-07	-2.23E-06	4.64E-07
3.196	-1.36E-15	2.91E-07	-4.12E-07	-2.52E-06	5.25E-07
3.198	-1.55E-15	3.29E-07	-4.66E-07	-2.85E-06	5.94E-07
3.2	-1.76E-15	3.72E-07	-5.26E-07	-3.22E-06	6.71E-07
3.202	-2.00E-15	4.20E-07	-5.94E-07	-3.64E-06	7.58E-07
3.204	-2.27E-15	4.73E-07	-6.69E-07	-4.10E-06	8.54E-07
3.206	-2.57E-15	5.33E-07	-7.54E-07	-4.62E-06	9.61E-07
3.208	-2.91E-15	5.99E-07	-8.47E-07	-5.19E-06	1.08E-06
3.21	-3.28E-15	6.73E-07	-9.52E-07	-5.83E-06	1.21E-06
3.212	-3.71E-15	7.55E-07	-1.07E-06	-6.54E-06	1.36E-06
3.214	-4.18E-15	8.46E-07	-1.20E-06	-7.33E-06	1.53E-06
3.216	-4.70E-15	9.47E-07	-1.34E-06	-8.21E-06	1.71E-06
3.218	-5.28E-15	1.06E-06	-1.50E-06	-9.18E-06	1.91E-06
3.22	-5.93E-15	1.18E-06	-1.67E-06	-1.02E-05	2.13E-06
3.222	-6.65E-15	1.32E-06	-1.87E-06	-1.14E-05	2.38E-06
3.224	-7.45E-15	1.47E-06	-2.08E-06	-1.27E-05	2.65E-06
3.226	-8.33E-15	1.63E-06	-2.31E-06	-1.42E-05	2.95E-06
3.228	-9.31E-15	1.82E-06	-2.57E-06	-1.57E-05	3.28E-06
3.23	-1.04E-14	2.02E-06	-2.85E-06	-1.75E-05	3.64E-06
3.232	-1.16E-14	2.24E-06	-3.16E-06	-1.94E-05	4.03E-06
3.234	-1.29E-14	2.48E-06	-3.50E-06	-2.14E-05	4.46E-06
3.236	-1.43E-14	2.74E-06	-3.87E-06	-2.37E-05	4.94E-06
3.238	-1.59E-14	3.02E-06	-4.28E-06	-2.62E-05	5.45E-06
3.24	-1.76E-14	3.33E-06	-4.72E-06	-2.89E-05	6.02E-06
3.242	-1.95E-14	3.67E-06	-5.20E-06	-3.18E-05	6.63E-06
3.244	-2.16E-14	4.04E-06	-5.72E-06	-3.50E-05	7.29E-06
3.246	-2.38E-14	4.44E-06	-6.28E-06	-3.85E-05	8.01E-06
3.248	-2.63E-14	4.87E-06	-6.89E-06	-4.22E-05	8.79E-06
3.25	-2.89E-14	5.34E-06	-7.56E-06	-4.63E-05	9.64E-06
3.252	-3.18E-14	5.85E-06	-8.27E-06	-5.07E-05	1.05E-05
3.254	-3.49E-14	6.39E-06	-9.04E-06	-5.54E-05	1.15E-05
3.256	-3.83E-14	6.98E-06	-9.87E-06	-6.05E-05	1.26E-05
3.258	-4.20E-14	7.61E-06	-1.08E-05	-6.59E-05	1.37E-05
3.26	-4.59E-14	8.28E-06	-1.17E-05	-7.18E-05	1.49E-05
3.262	-5.01E-14	9.01E-06	-1.27E-05	-7.80E-05	1.62E-05
3.264	-5.47E-14	9.78E-06	-1.38E-05	-8.47E-05	1.76E-05
3.266	-5.96E-14	1.06E-05	-1.50E-05	-9.19E-05	1.91E-05
3.268	-6.48E-14	1.15E-05	-1.62E-05	-9.95E-05	2.07E-05
3.27	-7.04E-14	1.24E-05	-1.76E-05	-1.08E-04	2.24E-05
3.272	-7.63E-14	1.34E-05	-1.89E-05	-1.16E-04	2.42E-05
3.274	-8.26E-14	1.44E-05	-2.04E-05	-1.25E-04	2.61E-05
3.276	-8.93E-14	1.55E-05	-2.20E-05	-1.35E-04	2.80E-05
3.278	-9.64E-14	1.67E-05	-2.36E-05	-1.45E-04	3.01E-05
3.28	-1.04E-13	1.79E-05	-2.54E-05	-1.55E-04	3.24E-05
3.282	-1.12E-13	1.92E-05	-2.72E-05	-1.67E-04	3.47E-05
3.284	-1.20E-13	2.06E-05	-2.91E-05	-1.78E-04	3.71E-05
3.286	-1.29E-13	2.20E-05	-3.11E-05	-1.90E-04	3.96E-05
3.288	-1.38E-13	2.34E-05	-3.31E-05	-2.03E-04	4.23E-05
3.29	-1.48E-13	2.50E-05	-3.53E-05	-2.16E-04	4.50E-05
3.292	-1.58E-13	2.65E-05	-3.75E-05	-2.30E-04	4.79E-05
3.294	-1.68E-13	2.82E-05	-3.98E-05	-2.44E-04	5.08E-05
3.296	-1.79E-13	2.98E-05	-4.22E-05	-2.59E-04	5.38E-05
3.298	-1.90E-13	3.16E-05	-4.47E-05	-2.74E-04	5.69E-05
3.3	-2.01E-13	3.33E-05	-4.72E-05	-2.89E-04	6.01E-05
3.302	-2.13E-13	3.52E-05	-4.97E-05	-3.05E-04	6.34E-05
3.304	-2.25E-13	3.70E-05	-5.23E-05	-3.21E-04	6.67E-05
3.306	-2.37E-13	3.89E-05	-5.49E-05	-3.37E-04	7.01E-05
3.308	-2.49E-13	4.07E-05	-5.76E-05	-3.53E-04	7.34E-05
3.31	-2.62E-13	4.26E-05	-6.03E-05	-3.69E-04	7.69E-05
3.312	-2.75E-13	4.45E-05	-6.30E-05	-3.86E-04	8.03E-05
3.314	-2.87E-13	4.64E-05	-6.56E-05	-4.02E-04	8.37E-05
3.316	-3.00E-13	4.83E-05	-6.83E-05	-4.18E-04	8.70E-05
3.318	-3.13E-13	5.01E-05	-7.08E-05	-4.34E-04	9.03E-05
3.32	-3.25E-13	5.19E-05	-7.34E-05	-4.50E-04	9.36E-05
3.322	-3.37E-13	5.36E-05	-7.58E-05	-4.65E-04	9.67E-05
3.324	-3.49E-13	5.53E-05	-7.82E-05	-4.79E-04	9.97E-05
3.326	-3.60E-13	5.69E-05	-8.05E-05	-4.93E-04	1.03E-04
3.328	-3.71E-13	5.84E-05	-8.26E-05	-5.06E-04	1.05E-04
3.33	-3.81E-13	5.98E-05	-8.45E-05	-5.18E-04	1.08E-04
3.332	-3.90E-13	6.10E-05	-8.63E-05	-5.29E-04	1.10E-04
3.334	-3.99E-13	6.22E-05	-8.79E-05	-5.39E-04	1.12E-04
